Customer ID,recency,frequency,monetary,R,F,M,RFM Score,Segment
C00002,25,44,171626,5,2,2,522,champions
C00003,101,40,446520,2,2,4,224,at risk
C00004,67,72,1507977,3,4,5,345,loyal customers
C00005,47,80,631881,4,5,4,454,loyal customers
C00006,41,100,476593,4,5,4,454,loyal customers
C00007,54,80,2814183,4,5,5,455,loyal customers
C00008,73,64,254187,3,4,3,343,loyal customers
C00009,54,12,2919,4,1,1,411,new customers
C00010,54,48,95366,4,3,1,431,champions
C00011,38,56,163175,4,3,2,432,champions
C00012,42,48,893894,4,3,5,435,champions
C00013,68,32,308772,3,1,3,313,need attention
C00014,19,52,472771,5,3,4,534,champions
C00015,35,52,419348,5,3,4,534,champions
C00016,205,52,57605,1,3,1,131,at risk
C00017,179,56,89995,1,3,1,131,at risk
C00018,291,56,502200,1,3,4,134,at risk
C00019,32,32,624996,5,1,4,514,new customers
C00020,131,20,36080,2,1,1,211,at risk
C00021,197,44,1081917,1,2,5,125,at risk
C00022,21,36,65067,5,2,1,521,champions
C00023,124,20,154635,2,1,2,212,at risk
C00024,41,48,80032,4,3,1,431,champions
C00025,32,60,154635,5,4,2,542,champions
C00026,127,32,19762,2,1,1,211,at risk
C00027,138,28,327143,2,1,3,213,at risk
C00028,245,20,91102,1,1,1,111,at risk
C00029,34,36,115292,5,2,1,521,champions
C00030,24,36,1074870,5,2,5,525,champions
C00031,243,32,245508,1,1,3,113,at risk
C00032,272,48,348381,1,3,3,133,at risk
C00033,91,84,231896,3,5,2,352,loyal customers
C00034,27,28,25912,5,1,1,511,new customers
C00036,19,36,650301,5,2,4,524,champions
C00037,27,40,48872,5,2,1,521,champions
C00039,34,20,72652,5,1,1,511,new customers
C00040,63,32,221857,3,1,2,312,need attention
C00041,19,72,371551,5,4,3,543,champions
C00042,105,48,42063,2,3,1,231,at risk
C00043,68,72,988929,3,4,5,345,loyal customers
C00044,295,24,64739,1,1,1,111,at risk
C00045,110,60,678213,2,4,5,245,at risk
C00047,175,88,1101276,1,5,5,155,can't loose
C00048,54,76,318654,4,5,3,453,loyal customers
C00049,26,64,376954,5,4,3,543,champions
C00050,173,48,237839,1,3,2,132,at risk
C00051,90,20,24827,3,1,1,311,need attention
C00052,88,60,245385,3,4,2,342,loyal customers
C00053,179,84,874881,1,5,5,155,can't loose
C00055,71,52,879336,3,3,5,335,need attention
C00056,33,32,95038,5,1,1,511,new customers
C00057,26,72,850743,5,4,5,545,champions
C00058,54,64,398844,4,4,3,443,loyal customers
C00060,109,84,876987,2,5,5,255,can't loose
C00061,111,124,646299,2,5,4,254,can't loose
C00062,59,64,554688,3,4,4,344,loyal customers
C00063,98,40,181056,2,2,2,222,at risk
C00064,87,20,92049,3,1,1,311,need attention
C00065,104,52,58999,2,3,1,231,at risk
C00066,118,32,73226,2,1,1,211,at risk
C00067,52,40,195566,4,2,2,422,champions
C00068,87,84,422730,3,5,4,354,loyal customers
C00069,41,48,275397,4,3,3,433,champions
C00070,96,28,143960,2,1,2,212,at risk
C00071,225,12,56486,1,1,1,111,at risk
C00072,38,24,40077,4,1,1,411,new customers
C00073,30,80,240301,5,5,2,552,champions
C00074,134,68,467646,2,4,4,244,at risk
C00075,215,72,288558,1,4,3,143,at risk
C00076,320,64,1726178,1,4,5,145,at risk
C00077,102,44,248636,2,2,3,223,at risk
C00078,29,108,1148742,5,5,5,555,champions
C00079,14,72,538081,5,4,4,544,champions
C00080,216,40,254309,1,2,3,123,at risk
C00081,78,32,232105,3,1,2,312,need attention
C00082,52,24,116153,4,1,1,411,new customers
C00083,347,56,222772,1,3,2,132,at risk
C00084,90,64,33201,3,4,1,341,loyal customers
C00085,70,16,115839,3,1,1,311,need attention
C00086,25,64,480492,5,4,4,544,champions
C00087,349,36,375943,1,2,3,123,at risk
C00088,46,76,1112130,4,5,5,455,loyal customers
C00089,132,36,413813,2,2,3,223,at risk
C00090,150,48,521316,2,3,4,234,at risk
C00092,41,52,569252,4,3,4,434,champions
C00093,315,40,110271,1,2,1,121,at risk
C00094,111,20,439749,2,1,4,214,at risk
C00095,88,8,19154,3,1,1,311,need attention
C00097,267,52,170068,1,3,2,132,at risk
C00098,37,24,38918,4,1,1,411,new customers
C00100,48,40,645685,4,2,4,424,champions
C00101,22,68,213683,5,4,2,542,champions
C00102,104,40,264122,2,2,3,223,at risk
C00103,41,80,1315440,4,5,5,455,loyal customers
C00104,291,16,46970,1,1,1,111,at risk
C00105,113,40,118401,2,2,1,221,at risk
C00106,48,40,241531,4,2,2,422,champions
C00107,110,80,481290,2,5,4,254,can't loose
C00108,82,32,151454,3,1,2,312,need attention
C00109,22,20,85339,5,1,1,511,new customers
C00110,46,116,367563,4,5,3,453,loyal customers
C00112,33,80,468114,5,5,4,554,champions
C00113,49,32,364095,4,1,3,413,new customers
C00114,36,96,1215891,4,5,5,455,loyal customers
C00115,106,40,150306,2,2,2,222,at risk
C00116,70,28,98974,3,1,1,311,need attention
C00117,14,56,375333,5,3,3,533,champions
C00118,340,40,64739,1,2,1,121,at risk
C00119,231,56,195871,1,3,2,132,at risk
C00120,278,32,139141,1,1,2,112,at risk
C00121,144,40,164902,2,2,2,222,at risk
C00122,104,32,187331,2,1,2,212,at risk
C00123,175,28,78812,1,1,1,111,at risk
C00125,119,28,124189,2,1,2,212,at risk
C00126,35,44,112012,5,2,1,521,champions
C00127,53,36,297985,4,2,3,423,champions
C00129,38,88,444812,4,5,4,454,loyal customers
C00130,109,40,736614,2,2,5,225,at risk
C00131,67,24,63058,3,1,1,311,need attention
C00132,109,72,474580,2,4,4,244,at risk
C00133,202,80,2170476,1,5,5,155,can't loose
C00134,60,104,597944,3,5,4,354,loyal customers
C00135,62,36,132614,3,2,2,322,need attention
C00138,95,56,531442,2,3,4,234,at risk
C00140,21,28,243329,5,1,2,512,new customers
C00142,119,44,243335,2,2,2,222,at risk
C00143,39,28,492399,4,1,4,414,new customers
C00144,245,32,83066,1,1,1,111,at risk
C00145,21,28,215879,5,1,2,512,new customers
C00146,52,128,613008,4,5,4,454,loyal customers
C00147,33,88,760752,5,5,5,555,champions
C00149,39,112,271133,4,5,3,453,loyal customers
C00150,69,68,260678,3,4,3,343,loyal customers
C00151,55,52,176412,4,3,2,432,champions
C00152,267,52,278595,1,3,3,133,at risk
C00153,26,44,139974,5,2,2,522,champions
C00154,133,48,289829,2,3,3,233,at risk
C00155,173,60,862174,1,4,5,145,at risk
C00156,19,88,315003,5,5,3,553,champions
C00157,56,44,2357667,3,2,5,325,need attention
C00158,50,40,1310768,4,2,5,425,champions
C00159,15,56,534482,5,3,4,534,champions
C00160,39,48,378918,4,3,3,433,champions
C00161,13,76,420107,5,5,4,554,champions
C00163,40,24,80703,4,1,1,411,new customers
C00164,52,52,242841,4,3,2,432,champions
C00166,71,36,1106298,3,2,5,325,need attention
C00167,351,20,168055,1,1,2,112,at risk
C00168,210,76,825633,1,5,5,155,can't loose
C00169,40,16,16531,4,1,1,411,new customers
C00170,297,112,2115153,1,5,5,155,can't loose
C00171,70,24,211437,3,1,2,312,need attention
C00172,56,100,347212,3,5,3,353,loyal customers
C00173,47,48,249977,4,3,3,433,champions
C00176,40,40,1232415,4,2,5,425,champions
C00177,42,56,223491,4,3,2,432,champions
C00179,118,32,457488,2,1,4,214,at risk
C00181,91,24,157440,3,1,2,312,need attention
C00182,73,44,285360,3,2,3,323,need attention
C00183,95,56,155759,2,3,2,232,at risk
C00184,133,68,153153,2,4,2,242,at risk
C00186,18,76,347334,5,5,3,553,champions
C00187,98,28,204533,2,1,2,212,at risk
C00188,34,108,476532,5,5,4,554,champions
C00189,50,72,328328,4,4,3,443,loyal customers
C00190,113,56,292248,2,3,3,233,at risk
C00191,16,96,955626,5,5,5,555,champions
